epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5482.65,0.81802,0.76273,1.18242,0.79267,0.83746,0.86289,0.75679,0.55405,0.60514,1.10518,0.0011882,0.0011882,0.0011882
43,5613.52,0.81062,0.73667,1.17333,0.79441,0.8096,0.87346,0.76984,0.50922,0.56778,1.05952,0.0011684,0.0011684,0.0011684
44,5744.29,0.81796,0.74778,1.17771,0.79063,0.82857,0.86702,0.77014,0.50565,0.62594,1.07543,0.0011486,0.0011486,0.0011486
45,5874.32,0.81838,0.73244,1.17514,0.78908,0.81947,0.89195,0.79215,0.50648,0.56125,1.05423,0.0011288,0.0011288,0.0011288
46,6004.3,0.81822,0.73331,1.17693,0.85665,0.8381,0.89747,0.77302,0.519,0.56155,1.05599,0.001109,0.001109,0.001109
47,6134.67,0.80424,0.72746,1.16175,0.83257,0.79048,0.87252,0.76414,0.51932,0.56994,1.03189,0.0010892,0.0010892,0.0010892
48,6263.57,0.81185,0.73348,1.1738,0.83044,0.84762,0.88732,0.76964,0.50775,0.54224,1.06843,0.0010694,0.0010694,0.0010694
49,6392.78,0.80819,0.72514,1.16925,0.8019,0.8381,0.8858,0.77837,0.52145,0.5638,1.07348,0.0010496,0.0010496,0.0010496
50,6525.3,0.79373,0.70998,1.16252,0.8635,0.80952,0.88064,0.75972,0.53267,0.57816,1.07317,0.0010298,0.0010298,0.0010298
51,6657.28,0.79103,0.70497,1.16846,0.79219,0.87137,0.89157,0.76582,0.56645,0.54123,1.10337,0.00101,0.00101,0.00101
52,6786.94,0.806,0.72527,1.16238,0.7891,0.8381,0.87555,0.78542,0.49009,0.56135,1.03715,0.0009902,0.0009902,0.0009902
53,6917.53,0.78841,0.70711,1.15881,0.78367,0.86252,0.88463,0.78507,0.49917,0.55726,1.04136,0.0009704,0.0009704,0.0009704
54,7050.1,0.78311,0.69584,1.15544,0.81751,0.8381,0.87832,0.76123,0.55056,0.59531,1.09508,0.0009506,0.0009506,0.0009506
55,7180.15,0.78155,0.70748,1.15527,0.81242,0.8,0.873,0.77613,0.49115,0.58762,1.04209,0.0009308,0.0009308,0.0009308
56,7309.86,0.79077,0.70849,1.16373,0.80152,0.84614,0.87615,0.76992,0.50461,0.53886,1.05828,0.000911,0.000911,0.000911
57,7438.46,0.77771,0.68668,1.14934,0.77611,0.74286,0.8705,0.77683,0.47868,0.56992,1.04359,0.0008912,0.0008912,0.0008912
58,7566.07,0.7791,0.68638,1.15032,0.75124,0.89162,0.86845,0.76457,0.49797,0.56816,1.04397,0.0008714,0.0008714,0.0008714
59,7697.06,0.77146,0.6755,1.13969,0.80275,0.85714,0.87959,0.77633,0.48614,0.54804,1.04556,0.0008516,0.0008516,0.0008516
60,7828.77,0.77927,0.67036,1.15277,0.78674,0.88571,0.89317,0.785,0.49685,0.53629,1.04848,0.0008318,0.0008318,0.0008318
61,7958.2,0.77104,0.6651,1.149,0.78962,0.85789,0.85518,0.76031,0.50098,0.60414,1.04567,0.000812,0.000812,0.000812
62,8087.29,0.77345,0.66254,1.14787,0.77135,0.81905,0.86546,0.77118,0.47973,0.55346,1.02898,0.0007922,0.0007922,0.0007922
63,8216.2,0.76478,0.66114,1.14628,0.76087,0.80952,0.86602,0.77182,0.49256,0.57108,1.02799,0.0007724,0.0007724,0.0007724
64,8345.57,0.76707,0.66874,1.14217,0.76204,0.84762,0.87487,0.77546,0.47473,0.5714,1.03661,0.0007526,0.0007526,0.0007526
65,8475.58,0.77307,0.66446,1.14815,0.83419,0.81454,0.88008,0.78354,0.46159,0.54675,1.03958,0.0007328,0.0007328,0.0007328
66,8604.7,0.76028,0.66535,1.14052,0.84336,0.74286,0.87712,0.77825,0.47376,0.53265,1.0243,0.000713,0.000713,0.000713
67,8735.8,0.75389,0.64836,1.13427,0.74366,0.85649,0.87746,0.78528,0.4797,0.56256,1.02837,0.0006932,0.0006932,0.0006932
68,8865.01,0.75725,0.64656,1.13421,0.86767,0.81181,0.89461,0.79784,0.48153,0.51282,1.02873,0.0006734,0.0006734,0.0006734
69,8994.33,0.7569,0.63556,1.1364,0.83732,0.83335,0.89297,0.79119,0.48356,0.54667,1.0269,0.0006536,0.0006536,0.0006536
70,9124.15,0.74902,0.62871,1.12938,0.84889,0.79048,0.89037,0.78943,0.48562,0.53017,1.02338,0.0006338,0.0006338,0.0006338
71,9254.2,0.75469,0.64134,1.13179,0.80101,0.84342,0.88818,0.80007,0.47004,0.52368,1.01188,0.000614,0.000614,0.000614
72,9385.96,0.745,0.63515,1.12848,0.77651,0.88571,0.88278,0.79218,0.47305,0.52369,1.03564,0.0005942,0.0005942,0.0005942
73,9515.09,0.73779,0.62336,1.12263,0.80739,0.84762,0.87462,0.78367,0.45628,0.52224,1.01187,0.0005744,0.0005744,0.0005744
74,9645.79,0.733,0.61592,1.12676,0.87059,0.75238,0.8767,0.78278,0.46741,0.52439,1.01664,0.0005546,0.0005546,0.0005546
75,9776.07,0.74196,0.62058,1.12749,0.80738,0.8383,0.88836,0.78938,0.47184,0.52592,1.0131,0.0005348,0.0005348,0.0005348
76,9906.59,0.72689,0.60717,1.1122,0.85085,0.80952,0.89407,0.79634,0.46794,0.5228,1.00734,0.000515,0.000515,0.000515
77,10039,0.72939,0.6157,1.12643,0.8575,0.80234,0.88194,0.79747,0.44117,0.56246,0.9726,0.0004952,0.0004952,0.0004952
78,10170.2,0.72388,0.60499,1.11197,0.77279,0.84225,0.88238,0.79926,0.45709,0.54474,0.98376,0.0004754,0.0004754,0.0004754
79,10299.7,0.73107,0.60388,1.12091,0.76321,0.84762,0.87055,0.78309,0.48205,0.55206,1.00408,0.0004556,0.0004556,0.0004556
80,10429.8,0.72707,0.60616,1.11757,0.75479,0.89524,0.88503,0.78308,0.47614,0.52436,1.00925,0.0004358,0.0004358,0.0004358
81,10561.7,0.72119,0.59288,1.10763,0.81374,0.8322,0.87593,0.78525,0.47359,0.54029,1.0225,0.000416,0.000416,0.000416
82,10698.8,0.72625,0.5976,1.1172,0.84386,0.82354,0.88016,0.78102,0.49785,0.53214,1.03209,0.0003962,0.0003962,0.0003962
83,10832.1,0.71266,0.5957,1.10628,0.83447,0.81622,0.87855,0.77922,0.46692,0.53738,1.01276,0.0003764,0.0003764,0.0003764
84,10965.7,0.71397,0.58771,1.10617,0.80939,0.82857,0.87771,0.79333,0.46873,0.54029,1.00232,0.0003566,0.0003566,0.0003566
85,11100.7,0.72178,0.59245,1.1139,0.81695,0.85714,0.88416,0.78562,0.47047,0.52714,1.00762,0.0003368,0.0003368,0.0003368
86,11234.7,0.70975,0.58697,1.10216,0.83075,0.84148,0.89345,0.80013,0.46645,0.51322,1.01109,0.000317,0.000317,0.000317
87,11371.4,0.70571,0.57383,1.09916,0.80152,0.87619,0.88703,0.80059,0.46533,0.52106,1.01041,0.0002972,0.0002972,0.0002972
88,11506,0.71221,0.57799,1.10841,0.79499,0.84942,0.87959,0.78753,0.47917,0.52992,1.00344,0.0002774,0.0002774,0.0002774
89,11642.8,0.70117,0.56805,1.10302,0.7928,0.87456,0.88272,0.78092,0.48622,0.53062,1.00182,0.0002576,0.0002576,0.0002576
90,11802.4,0.7021,0.56793,1.10316,0.87573,0.8054,0.88642,0.79664,0.46295,0.51072,1.00734,0.0002378,0.0002378,0.0002378
91,11933.2,0.64512,0.48879,1.08182,0.81782,0.81905,0.88349,0.78527,0.46439,0.51358,1.00521,0.000218,0.000218,0.000218
92,12060.9,0.63273,0.46302,1.07031,0.77725,0.8381,0.87841,0.77784,0.4587,0.52345,0.99952,0.0001982,0.0001982,0.0001982
93,12189.4,0.63304,0.453,1.0682,0.76211,0.84762,0.88082,0.78707,0.47075,0.53515,1.00169,0.0001784,0.0001784,0.0001784
94,12316.9,0.62917,0.45151,1.06566,0.90373,0.7619,0.89191,0.79153,0.47504,0.51736,1.00659,0.0001586,0.0001586,0.0001586
95,12445.4,0.62018,0.44563,1.06346,0.85759,0.78095,0.88644,0.78795,0.46289,0.52805,0.99169,0.0001388,0.0001388,0.0001388
96,12575,0.62378,0.44061,1.06916,0.78396,0.7949,0.87595,0.7843,0.47616,0.53787,1.01349,0.000119,0.000119,0.000119
97,12700.6,0.61683,0.43353,1.0595,0.77738,0.81905,0.87597,0.78085,0.47735,0.54814,0.99521,9.92e-05,9.92e-05,9.92e-05
98,12827.4,0.61868,0.42832,1.06027,0.81395,0.80952,0.88522,0.79084,0.47761,0.53253,1.0019,7.94e-05,7.94e-05,7.94e-05
99,12954.9,0.61524,0.4307,1.05643,0.81726,0.8,0.8875,0.79573,0.47311,0.53052,1.00537,5.96e-05,5.96e-05,5.96e-05
100,13083.9,0.6115,0.42099,1.05515,0.89562,0.73546,0.88657,0.79445,0.4746,0.51998,1.01004,3.98e-05,3.98e-05,3.98e-05
